YEAR,REGION,STRAT,PROT,PRIMARY_SAMPLE_UNIT,CRY ROSE,SCA GUAC,SCA ISER,SCA TAEN,SCA VETU,SPA ATOM,SPA AURO,SPA CHRY,SPA RADI,SPA RUBR,SPA VIRI
2021,STTSTJ,BDRK_SHLW,0,5277,0,0,8.5,0,0,0,3,0,0,0,4.5
2021,STTSTJ,BDRK_SHLW,0,5300,0,0,16,0,0,0,2.5,0,0.5,0,2.5
2021,STTSTJ,BDRK_SHLW,0,5310,0,0,2.5,0,0,0,0,0,0,0,2.5
2021,STTSTJ,BDRK_SHLW,0,5331,0,0,14,1,0,0,11,0,0,0,11
2021,STTSTJ,BDRK_SHLW,0,5333,4,0,45,0,0,0,12.5,0,1,0,8
2021,STTSTJ,BDRK_SHLW,0,5336,0,0,15.5,11,13,0,10.5,0,0,1.5,5.5
2021,STTSTJ,BDRK_SHLW,0,5361,0,0,1,2,0,0,2.5,0.5,0,2.5,2.5
2021,STTSTJ,BDRK_SHLW,0,5366,0,0,0,0.5,0,0,9.5,3.5,0,0.5,4
2021,STTSTJ,BDRK_SHLW,0,5420,0,0,3,0,0,0.5,6.5,0,0,3,3.5
2021,STTSTJ,BDRK_SHLW,0,5427,0,0,0.5,0,0,0,6.5,0.5,0,0,0.5
2021,STTSTJ,BDRK_SHLW,0,5443,0,0,0.5,7.5,0,0,5,0,0,0,4
2021,STTSTJ,BDRK_SHLW,0,5464,0,0,2,3,0,0,7.5,0,0,0,2
2021,STTSTJ,HARD_DEEP,0,5003,0,0,0,1.5,0,0,0,0,0,0,2.5
2021,STTSTJ,HARD_DEEP,0,5005,0,0,3.5,0.5,0,0,0,0,0,0,2
2021,STTSTJ,HARD_DEEP,0,5010,0,0,24.5,25,0,0,8.5,0,0,0,1
2021,STTSTJ,HARD_DEEP,0,5015,0,0,0,6.5,0,0,3,0,0,0,1
2021,STTSTJ,HARD_DEEP,0,5016,0,0,9,10.5,0,0,2,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5017,0,0,5.5,0.5,0,0,1.5,0,0,0,0.5
2021,STTSTJ,HARD_DEEP,0,5018,0,0,2,3,0,0,3,0,0,0,1
2021,STTSTJ,HARD_DEEP,0,5019,0,0,4,5,0,0,1.5,0,0,0,2
2021,STTSTJ,HARD_DEEP,0,5025,0,0,8,6.5,0,0,1,0,0,0,0.5
2021,STTSTJ,HARD_DEEP,0,5028,0,0,9.5,6.5,1.5,0,6,0,0,0,5
2021,STTSTJ,HARD_DEEP,0,5029,0,0,7.5,0.5,0.5,1,2,0,0,0,1.5
2021,STTSTJ,HARD_DEEP,0,5037,0,0,1,14.5,0,0,1.5,0,0,0,1
2021,STTSTJ,HARD_DEEP,0,5046,0.5,0,0.5,15.5,0,0.5,9,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5048,0,0,1.5,13,0,0,4,0,0,0,1.5
2021,STTSTJ,HARD_DEEP,0,5057,0,0,4,6,0,1,2.5,0,0,0,1.5
2021,STTSTJ,HARD_DEEP,0,5060,0,0,0,0,0,0,0,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5069,0,0,10,10,0,0,3.5,0,0,0,0.5
2021,STTSTJ,HARD_DEEP,0,5072,2.5,0,0,3,0,34,7,1,0,0,0
2021,STTSTJ,HARD_DEEP,0,5074,0,0,17.5,0,0,0,4.5,0,0,0,0
2021,STTSTJ,HARD_DEEP,0,5077,0.5,0,8,6.5,0,2.5,3.5,0,0,0,3.5
2021,STTSTJ,HARD_DEEP,0,5079,0,0,1.5,9.5,0,0,3.5,0,0,0,4.5
